date,amount,unit_price,clientId,productId,family,productName,cartId
2022-5,2,20,74,6,Pâtisserie,Fouet électrique,1
2022-5,5,3,74,1,Ustensiles de base,Fouet,1
2022-5,1,10,74,1,Ustensiles de base,Presse-ail,1
2022-5,8,25,74,2,Appareils électroménagers,Grille-pain,1
2022-5,9,10,74,7,Couteaux et planches à découper,Planche à découper en plastique,1
2022-2,7,10,1,1,Ustensiles de base,Presse-ail,2
2022-2,9,8,1,4,Vaisselle,Assiette,2
2022-2,5,3,1,4,Vaisselle,Verre,2
2022-2,1,12,30,3,Rangement et organisation,Pot à couverts,3
2022-5,5,12,32,9,Bar et vin,Tire-bouchon,4
2022-5,9,4000,32,2,Appareils électroménagers,Lave-linge,4
2022-5,1,10,32,1,Ustensiles de base,Presse-ail,4
2022-5,10,10,32,3,Rangement et organisation,Boîte à thé,4
2022-5,3,18,32,7,Couteaux et planches à découper,Planche à découper en bois,4
2022-5,7,20,32,7,Couteaux et planches à découper,Couteau à pain,4
2022-5,7,4,32,10,Linge de cuisine,Serviette de table,4
2022-7,1,20,53,3,Rangement et organisation,Rack à épices,5
2022-7,2,12,53,9,Bar et vin,Tire-bouchon,5
2022-9,5,4,14,4,Vaisselle,Tasse,6
2022-9,2,15,14,7,Couteaux et planches à découper,Couteau d'office,6
2022-9,2,15,14,6,Pâtisserie,Moule à gâteau,6
2022-9,6,6,14,1,Ustensiles de base,Pince de cuisine,6
2022-9,1,8,14,4,Vaisselle,Assiette,6
2022-9,2,20,14,3,Rangement et organisation,Rack à épices,6
2022-5,1,10000,100,3,Bar et vin,Chateau Lafitte 1992,7
2022-5,2,2,100,4,Vaisselle,Sous-verre,7
2022-5,9,8,100,8,Mesure et minuterie,Thermomètre de cuisine,7
2022-4,1,20,6,9,Bar et vin,Décanteur,8
2022-4,4,40,6,5,Cuisson,Grill,8
2022-4,7,30,6,5,Cuisson,Poêle,8
2022-4,2,15,6,3,Rangement et organisation,Boîte à pain,8
2022-4,4,5,6,4,Vaisselle,Bol,8
2022-4,8,10000,6,3,Bar et vin,Chateau Lafitte 1992,8
2022-2,7,50,49,2,Appareils électroménagers,Robot culinaire,9
2022-2,5,40,49,5,Cuisson,Grill,9
2022-2,4,10,49,9,Bar et vin,Ouvre-bouteille,9
2022-2,5,40,49,2,Appareils électroménagers,Mixeur,9
2022-2,7,7,49,10,Linge de cuisine,Gant de cuisine,9
2022-2,2,5,49,1,Ustensiles de base,Spatule,9
2022-3,2,15,75,7,Couteaux et planches à découper,Couteau d'office,10
2022-3,5,40,75,5,Cuisson,Grill,10
2022-3,8,10,75,6,Pâtisserie,Rouleau à pâtisserie,10
2022-3,8,20,75,5,Cuisson,Plat de cuisson,10
2022-3,9,5,75,1,Ustensiles de base,Spatule,10
2022-3,7,30,75,2,Appareils électroménagers,Bouilloire,10
2022-3,6,35,75,5,Cuisson,Marmite,10
2022-11,8,3,99,4,Vaisselle,Verre,11
2022-11,8,4,99,10,Linge de cuisine,Serviette de table,11
2022-11,10,25,99,5,Cuisson,Casserole,11
2022-11,9,3,99,4,Vaisselle,Verre,11
2022-11,5,20,99,6,Pâtisserie,Fouet électrique,11
2022-9,6,40,103,2,Appareils électroménagers,Mixeur,12
2022-2,2,20,59,3,Rangement et organisation,Rack à épices,13
2022-2,9,20,59,5,Cuisson,Plat de cuisson,13
2022-2,6,3,59,4,Vaisselle,Verre,13
2022-2,5,20,59,8,Mesure et minuterie,Balance de cuisine,13
2022-2,3,4,59,10,Linge de cuisine,Serviette de table,13
2022-5,7,25,99,7,Couteaux et planches à découper,Couteau de chef,14
2022-5,6,18,99,7,Couteaux et planches à découper,Planche à découper en bois,14
2022-5,1,20,99,6,Pâtisserie,Fouet électrique,14
2022-5,6,8,99,8,Mesure et minuterie,Thermomètre de cuisine,14
2022-5,10,5,99,1,Ustensiles de base,Spatule,14
2022-5,7,35,99,5,Cuisson,Marmite,14
2022-11,4,15,62,3,Rangement et organisation,Boîte à pain,15
2022-11,6,4,62,10,Linge de cuisine,Serviette de table,15
2022-11,1,5,62,1,Ustensiles de base,Jambon-Fromage,15
2022-11,1,12,62,6,Pâtisserie,Plaque à biscuits,15
2022-11,8,5,62,10,Linge de cuisine,Torchon,15
2022-11,2,15,62,9,Bar et vin,Seau à glace,15
2022-6,5,15,4,3,Rangement et organisation,Boîte à pain,16
2022-6,8,12,4,6,Pâtisserie,Plaque à biscuits,16
2022-6,5,6,4,10,Linge de cuisine,Manique,16
2022-6,10,25,4,5,Cuisson,Casserole,16
2022-6,6,20,4,3,Rangement et organisation,Rack à épices,16
2022-6,6,20,4,6,Pâtisserie,Fouet électrique,16
2022-6,6,6,4,1,Ustensiles de base,Pince de cuisine,16
2022-9,4,15,42,9,Bar et vin,Seau à glace,17
2022-9,2,3,42,4,Vaisselle,Verre,17
2022-7,1,10,29,3,Rangement et organisation,Porte-ustensiles,18
2022-7,7,5,29,8,Mesure et minuterie,Tasse à mesurer,18
2022-3,4,12,67,3,Rangement et organisation,Pot à couverts,19
2022-3,4,25,67,7,Couteaux et planches à découper,Couteau de chef,19
2022-3,2,5,67,10,Linge de cuisine,Torchon,19
2022-3,9,10,67,6,Pâtisserie,Rouleau à pâtisserie,19
2022-3,8,3,67,8,Mesure et minuterie,Cuillère à mesurer,19
2022-3,9,5,67,4,Vaisselle,Bol,19
2022-3,5,7,67,8,Mesure et minuterie,Minuteur,19
2022-8,10,3,24,1,Ustensiles de base,Fouet,20
2022-8,2,3,24,8,Mesure et minuterie,Cuillère à mesurer,20
2022-8,9,25,24,7,Couteaux et planches à découper,Couteau de chef,20
2022-8,7,20,24,5,Cuisson,Plat de cuisson,20
2022-8,2,3,24,1,Ustensiles de base,Fouet,20
2022-8,9,8,24,9,Bar et vin,Verre à vin,20
2022-8,2,3,24,4,Vaisselle,Verre,20
2022-4,7,12,3,3,Rangement et organisation,Pot à couverts,21
2022-4,4,18,3,7,Couteaux et planches à découper,Planche à découper en bois,21
2022-4,10,6,3,1,Ustensiles de base,Pince de cuisine,21
2022-4,5,3,3,1,Ustensiles de base,Fouet,21
2022-2,8,20,89,7,Couteaux et planches à découper,Couteau à pain,22
2022-2,2,10,89,10,Linge de cuisine,Tablier,22
2022-2,4,15,89,6,Pâtisserie,Moule à gâteau,22
2022-2,9,15,89,3,Rangement et organisation,Boîte à pain,22
2022-9,5,25,94,5,Cuisson,Casserole,23
2022-9,4,12,94,3,Rangement et organisation,Pot à couverts,23
2022-9,9,5,94,4,Vaisselle,Bol,23
2022-9,8,25,94,5,Cuisson,Casserole,23
2022-9,1,6,94,1,Ustensiles de base,Pince de cuisine,23
2022-2,1,10,53,3,Rangement et organisation,Boîte à thé,24
2022-2,3,12,53,9,Bar et vin,Tire-bouchon,24
2022-2,1,25,16,2,Appareils électroménagers,Grille-pain,25
2022-2,8,4,16,10,Linge de cuisine,Serviette de table,25
2022-2,7,25,16,5,Cuisson,Casserole,25
2022-2,1,2,16,4,Vaisselle,Sous-verre,25
2022-2,1,20,16,3,Rangement et organisation,Rack à épices,25
2022-2,1,10,84,3,Rangement et organisation,Boîte à thé,26
2022-2,2,2,84,4,Vaisselle,Sous-verre,26
2022-2,1,20,84,9,Bar et vin,Décanteur,26
2022-2,6,8,84,8,Mesure et minuterie,Thermomètre de cuisine,26
2022-2,5,5,84,10,Linge de cuisine,Torchon,26
2022-7,5,20,92,8,Mesure et minuterie,Balance de cuisine,27
